,vocab,meaning
0,spoof,v.揶揄，嘲讽
1,caustic,a.腐蚀性的；刻薄的；n.腐蚀剂
2,quixotic,a.不切实际的，空想的
3,languish,v.变得消瘦；衰弱
4,loath,a.不情愿的，勉强的
5,jaunty,a.愉快的，满足的
6,sepulchral,a.坟墓的；阴深的
7,knotty,a.有节疤的
8,prosaic,a.单调的，无趣的
9,demote,v.降级，降职
10,imperious,a.傲慢的，专横的
11,humdrum,a.单调的，乏味的
12,onset,n.(坏情况)开始发作
13,largesse,n.慷慨援助；施舍
14,derivative,a.派生的；无创意的
15,expurgate,v.删除；使纯洁
16,illuminate,v.阐明，解释；照亮
17,extemporize,v.即席演说
18,jabber,v.快而不清楚地说
19,exploit,v.剥削；开发利用；n.英勇行为
20,nettle,n.荨麻；v.烦忧，激恼
21,wretched,a.可怜的
22,dilapidate,v.(使)荒废，(使)毁坏
23,comity,n.礼让，礼仪
24,revelation,n.显示；泄露的事实
25,defy,v.违抗，藐视
26,incite,v.激发，刺激
27,preclude,v.避免，排除
28,ostensible,a.表面上的
29,divestiture,n.脱衣，卸下装饰；剥夺财产；取消称号
30,royalty,n.版税
31,savvy,a.有见识和精明能干的
32,transient,a.短暂的，转瞬即逝的
33,vile,a.恶劣的，卑鄙的
34,exculpate,v.开脱，申明无罪
35,amenable,a.顺从的，服从的
36,rage,n.盛怒；v.激怒
37,noxious,a.有害的，有毒的
38,germane,a.有密切关系的；贴切的
39,penance,n.自我惩罚
40,impudent,a.鲁莽的，无礼的
41,eclectic,a.折衷的，综合性的
42,palpable,a.可触知的，明显的
43,compunction,n.懊悔，良心不安
44,malicious,a.恶意的，怨毒的
45,alibi,n.不在场证明
46,versatile,a.多才多艺的；多用途的
47,conciliate,v.安抚，驯服
48,conspicuous,a.显著的，显而易见的
49,snare,n.罗网，陷阱
50,esoteric,a.秘传的；神秘的
51,neophyte,n.初学者，新手
52,corporeal,"a.物质的,肉体的"
53,recluse,n.隐士；a.隐居的
54,perquisite,n.固定津贴，利益
55,contravene,v.违反(法规，习俗)
56,insipid,a.乏味的，枯燥的
57,adamant,a.强硬的；固执的
58,vilify,v.辱骂，诽谤
59,peeve,v.使气恼，怨恨
60,elude,v.逃避；搞不清
61,copious,a.丰富的，多产的
62,varnish,n.清漆；v.涂上清漆
63,ethereal,a.太空；轻巧的
64,renovate,v.修复，装修，翻新
65,svelte,a.(女人)体态苗条的
66,influx,n.注入，涌入
67,fulminate,v.猛烈抨击，严厉谴责
68,tender,v.(希望对方接受的意见等)
69,repatriate,v.(自异国)遣返
70,delusion,n.欺骗，幻想
71,sensation,n.知觉；轰动(的事)
72,garble,v.曲解，窜改
73,retainer,n.侍从
74,avid,a.渴望的
75,fractious,a.(脾气)易怒的，好争吵的
76,penchant,n.爱好，嗜好
77,devout,a.虔敬的；忠诚的，忠心的
78,scoff,v.嘲笑；狼吞虎咽；n.嘲笑，笑柄
79,ripen,v.使成熟
80,affable,a.易于交谈的；和蔼的
81,disarray,n.混乱，漫无秩序
82,cunning,a.善于骗人的；灵巧的；n.欺诈行为
83,expansive,a.(指人)健谈的，开朗的；可扩大的，可伸展的
84,ribald,a.下流的，粗鄙的
85,elephantine,a.笨拙的，庞大的
86,redolent,a.芬芳的，芳香的
87,entrance,v.使出神，使入迷
88,dispose,v.使倾向；处理掉
89,nonplus,v.使窘困迷惑；n.迷惑，窘境
90,motley,a.混杂的；杂色的
91,anarchist,n.无政府主义者
92,tenuous,a.细薄的，稀薄的；空洞的
93,menace,v./n.威胁，危险
94,nonchalant,a.冷漠的
95,byzantine,a.像迷宫似的；难变更的
96,outlandish,a.古怪的
97,surly,a.脾气暴躁的；阴沉的
98,eminent,a.著名的，显著的
99,minimize,v.把…减至最低数量或程度
100,practitioner,n.开业者；从事某种手艺者
101,conducive,a.对…有益的
102,relapse,n.旧病复发；再恶化；v.旧病复发，再恶化
103,invidious,a.惹人反感的，导致伤害和仇恨的，招人嫉妒的
104,pinnacle,n.尖塔；山峰，顶峰
105,balk,n.大方木料；v.阻止妨碍；畏缩不前
106,vulgar,a.无教养的
107,salutary,a.有益的，有益健康的
108,nitpick,v.挑剔，吹毛求疵
109,conjure,v.恳求 祈求；变魔术，变戏法
110,timorous,a.胆小的，胆怯的
111,proprietary,a.私有的
112,verbose,a.冗长的，罗嗦的
113,frivolous,a.轻薄的，轻佻的
114,empirical,a.经验的，实证的
115,approbation,n.许可，批准
116,dissipate,v.(使)驱散；浪费
117,obsequious,a.逢迎的，谄媚的
118,somber,a.忧郁的；阴暗的
119,tendentious,a.有偏见的
120,merited,a.该得的，理所当然的
121,poseur,n.装模作样的人
122,hermetic,a.密封的；深奥的
123,fledgling,n.正在学习飞行的幼鸟；无经验的人
124,antiquated,a.陈旧的，过时的
125,groove,n.凹线；(刻出的)线条；习惯
126,snub,v.冷落，不理睬
127,contiguous,a.接壤的，连续的
128,champion,n.冠军，斗士；拥护者；v.拥护
129,peremptory,a.不容反抗的；专横的
130,paranoid,a.偏执狂的，过分怀疑的
131,insolent,a.粗野的，无礼的
132,officious,a.爱发命令的，好忠告的；过度殷勤的
133,expediency,n.方便；权宜之计
134,persistence,n.坚持不懈，持续
135,inimitable,a.无法仿效的，不可比拟的
136,consign,v.托运，托管
137,default,v./n.拖债；未履行的责任
138,pertain,v.属于；关于
139,goldbrick,v.逃避责任，偷懒
140,frugal,a.节约的，节俭的
141,levity,n.轻率；轻浮
142,disabuse,v.打消(某人的)错误念头；纠正
143,swerve,v.突然改变方向
144,slight,a.微小的；n./v.轻蔑
145,turmoil,n.混乱，骚乱
146,nugatory,a.无价值的，琐碎的
147,deplore,v.悲悼，哀叹
148,conflate,v.合并
149,perpetual,a.连续不断的；永久的
150,patronize,v.以高人一等的态度对待；光顾，惠顾
151,facile,a.容易做的；肤浅的
152,amble,n./v.漫步，缓行
153,sermon,n.布道；说教，训诫
154,subterfuge,n.诡计，托辞
155,tumult,n.乱哄哄
156,mulish,a.骡一样的，执拗的
157,doodle,v.胡乱画；混时间
158,turbulent,a.导致动乱的；骚乱的
159,vacuous,a.发呆的，愚笨的
160,subsidy,n.补助金
161,inquisitive,a.过分好问的；好奇的
162,acrid,a.辛辣的，刻薄的
163,commodious,a.宽敞的
164,repulse,v.驱逐，击退；厌恶；n.驱逐，击退，厌恶
165,feeble,a.虚弱的
166,liken,v.把…比作…
167,scrawl,v.潦草地写，乱涂
168,discompose,v.使失态，慌张
169,commensurate,a.同样大小的；相称的
170,cling,v.附着，紧贴；舍不得放弃
171,patriot,n.爱国者，爱国主义者
172,translucent,a.(半)透明的
173,wastrel,n.挥霍无度的人
174,provident,a.深谋远虑的；节俭的
175,doctrinaire,n.空论家；a.教条的，迂腐的
176,opine,v.想，以为
177,indigent,a.贫穷的，贫困的
178,surrogate,n.代替品；代理人
179,cognizant,a.知道的，了解的
180,dexterous,a.灵巧的，熟练的
181,slate,n.石板；候选人名单；v.提名
182,hideous,a.讨厌的，丑恶的
183,preeminent,a.出类拔萃的
184,procure,v.取得，获得
185,unflappable,a.不惊慌的，镇定的
186,remiss,a.疏忽的，不留心的
187,denigrate,v.污蔑，诽谤
188,incendiary,a.放火的，纵火的
189,genteel,a.上流社会的；装作彬彬有礼的
190,swagger,v.大摇大摆地走
191,barrage,n.弹幕
192,lash,n.鞭子；v.鞭打；捆住
193,farce,n.闹剧；荒谬胡闹
194,coarse,a.粗糙的；低劣的，粗俗的
195,misrepresent,v.误传，歪曲
196,lush,a.繁茂的，茂盛的
197,fetid,a.有恶臭的
198,evacuate,v.撤退；撤离
199,telling,a.有效的，显著的
200,inchoate,a.刚开始的；未发展的
201,mite,n.极小量；小虫
202,winnow,v.把(谷物)的杂质吹掉，扬去
203,transcend,v.超越，胜过
204,perilous,a.危险的，冒险的
205,pedestrian,a.徒步的；缺乏想像的；n.行人
206,beleaguer,v.围攻
207,recoil,v.退却，退缩
208,ostracize,v.放逐，排斥
209,ticklish,a.怕痒的；易怒的
210,lurid,a.耀眼的；骇人听闻的
211,lenient,a.宽大的；仁慈的
212,panacea,n.万灵药
213,orient,a.上升的；v.确定方向；使熟悉情况
214,cede,v.割让(土地权利)，放弃
215,unanimous,a.全体意见一致的
216,rumple,v.弄皱，弄乱
217,mawkish,a.自作多情的；淡而无味的，令人作呕的
218,muffle,v.使声音降低；裹住
219,arbitrary,a.专横武断的，不理智的
220,temporize,v.拖延；见风使舵
221,liability,n.责任；债务
222,latent,a.潜伏的
223,doff,v.脱掉
224,emigrate,v.移民
225,hortative,a.激励的
226,wither,v.枯萎，凋零
227,fad,n.(流行一时的)狂热，时尚
228,barter,v.货物交换
229,mellifluous,a.(音乐等)柔美流畅的
230,confound,v.使迷惑，搞混
231,cajole,v.(以甜言蜜语)哄骗
232,jest,v./n.说笑，玩笑
233,perforate,v.打洞
234,stock,a.普通的，惯用的；n.存货
235,hoax,n./v.骗局，欺骗
236,etch,v.蚀刻；铭记
237,spat,n.口角，小争论
238,noisome,a.恶臭的；令人不快的
239,kindle,v.着火，点燃
240,germinate,v.发芽；发展
241,rupture,n./v.破裂，断裂
242,tepid,a.微温的
243,monologue,n.独白；个人长篇演说
244,pristine,a.太古的；纯洁的；新鲜的
245,dyspeptic,a.消化不良的；不高兴的
246,vicarious,a.替代的，代理的
247,infiltrate,v.渗透，渗入
248,substitute,n.代替品；v.代替
249,quell,v.制止，镇压
250,flag,v.减弱，衰退；枯萎
251,recumbent,a.侧卧的；休息的
252,pundit,n.权威人士，专家
253,hoard,v./n.贮藏，秘藏
254,seminal,a.有创意的
255,conundrum,n.难题；谜语
256,despotic,a.专横的，暴虐的
257,rudimentary,a.初步的，未充分发展的
258,ramble,n./v.漫步
259,indemnity,n.赔偿；保证
260,cosmopolitan,n.世界主义者，四海为家的人
261,immemorial,a.太古的，极古的
262,inane,a.无意义的；空洞的
263,pusillanimous,a.胆小的
264,acute,a.灵敏的；[病]急性的
265,hallucination,n.幻觉，幻视
266,commencement,n.开始；毕业典礼
267,gild,v.镀金；虚饰
268,crumple,v.弄皱；破裂
269,presage,n.预感；v.预示
270,contract,n.合同；v.订合同；收缩
271,choleric,a.易怒的，暴躁的
272,fraudulent,a.欺骗的，不诚实的
273,depreciate,v.轻视；贬值
274,dormant,a.冬眠的；静止的
275,blithe,a.愉快的，无忧无虑的
276,provisory,a.有附带条件的
277,speck,n.斑点；少量
278,emulate,v.努力赶上或超越
279,valediction,n.告别演说
280,attune,(to)v.使调和
281,modicum,n.少量
282,bland,a.(人)情绪平稳的；(食物)乏味的  = 平淡无奇的
283,quaff,v.痛饮，畅饮
284,incense,n.香，香味；v.激怒
285,cumbersome,a.笨重的
286,meager,a.贫乏的；削瘦的
287,beset,v.镶嵌；困扰
288,baroque,n./a.(艺术、建筑等)过分雕琢(的)
289,sate,v.使心满意足，使厌腻
290,pseudonym,n.假名，笔名
291,barricade,v./n.路障，栅栏
292,pirate,n.海盗，剽窃者；v.盗印；掠夺
293,rustic,a.乡村的，乡土气的
294,strip,v.剥去；n.狭长的一片
295,truculent,a.残暴的，凶狠的
296,random,a.没有明确目的、计划或者目标的；偶然的，随便的
297,lug,v./n.拖，拉
298,stultify,v.使变得荒谬可笑；使无用
299,stammer,v.口吃，结巴
300,grandeur,n.壮丽，伟大
301,steep,v.浸泡，浸透
302,dreary,a.沉闷的，乏味的
303,glib,a.流利圆滑的，善辩的
304,superfluous,a.多余的，累赘的
305,contrived,a.人为的，不自然的，做作的
306,manuscript,n.手稿；手抄本
307,bellwether,n.领导者，领头羊
308,feral,a.凶猛的，野的
309,forthright,a.直率的
310,rambunctious,a.骚乱的；(兴奋)控制不了的
311,perish,v.死，暴卒
312,cow,v.威胁
313,withhold,v.扣留，保留
314,chronic,a.慢性的，长期的
315,montage,n.蒙太奇；拼集画
316,fathom,n.英寻(量水深用，1.83米)；v.彻底明白，了解
317,testy,a.性急的，暴躁的
318,ethos,n.(个人、团体或民族)道德风貌，思潮，信仰
319,resurrect,v.使复活；复兴
320,myriad,a.许多的，无数的
321,demanding,a.苛刻的，过分要求的
322,plummet,v.垂直或突然坠下
323,raspy,a.(声音)刺耳的；恼人的
324,boisterous,a.喧闹的；猛烈的
325,augur,n.占卜师；v.占卜
326,privation,n.丧失，贫困
327,oust,v.驱逐；把…赶走
328,tempestuous,a.狂暴的
329,suffocate,v.(使)窒息而死
330,whet,v.磨快；刺激
331,nautical,a.船员的，航海的
332,glisten,v.闪烁，闪耀
333,mirage,n.幻影，海市蜃楼
334,swindle,v.诈骗
335,perfunctory,a.草率的，敷衍的
336,despicable,a.可鄙的，卑劣的
337,flaw,n.瑕疵；v.生裂缝；有瑕疵
338,snobbish,a.势利眼的；假充绅士的
339,green,a.新鲜的，未成熟的，无经验的
340,puissance,n.权力
341,uncouth,a.粗野笨拙的
342,concord,n.和睦，和谐；一致
343,impuissance,n.无力，虚弱
344,scorch,v.烤焦，烧焦
345,exacerbate,v.加重，恶化
346,vouch,v.担保，证明
347,grovel,v.摇尾乞怜，奴颜婢膝
348,stray,v.偏离，迷路；a.迷了路的；零落的
349,torrential,a.奔流的，洪流的
350,eulogize,v.称赞，颂扬
351,pellucid,a.清晰的，清澈的
352,scourge,n.鞭笞；磨难；v.鞭笞，磨难
353,overshadow,v.遮蔽，使失色
354,halcyon,a.平静的；愉快的
355,vendor,n.小贩
356,trickle,v.一滴滴地流；n.细流
357,chameleon,n.变色龙，善变之人
358,exult,v.欢腾，喜悦
359,responsive,a.敏感的，反应快的
360,spike,n.长钉，大钉
361,console,v.安慰，抚慰
362,capitulate,"v.(有条件地)投降,屈服"
363,hoary,a.(头发)灰白的；古老的
364,vigilant,a.机警的，警惕的
365,indifferent,a.不感兴趣的，漠不关心的
366,repudiate,v.拒绝，抛弃
367,inveterate,a.积习已深的
368,linger,v.逗留，留恋
369,dabble,v.涉足，浅赏
370,monolithic,a.巨石的，巨大的
371,abate,v.减轻，减少
372,scrappy,a.碎片的；好斗的；坚毅的
373,imprudent,a.轻率的；不智的
374,synchronous,a.同时发生的
375,patrician,n.贵族
376,accrete,v.共生，增长
377,renounce,v.(正式)放弃
378,disinfect,v.杀菌，消毒
379,prologue,n.开场白；序幕
380,brittle,a.易碎的，脆弱的
381,spleen,n.怨怒
382,languor,n.身心疲惫
383,macabre,a.骇人的，可怖的
384,rakish,a.潇洒的；放荡的
385,adore,v.崇拜；热爱
