,vocal,meaning
0, abase,lower; degrade; humiliate; make humble; make (oneself) lose self-respect
1,abash,embarrass
2,abate,subside or moderate
3,abbreviate,shorten
4,abdicate,"renounce; give up (position, right, or responsibility)"
5,aberrant,abnormal or deviant
6,aberration,deviation from the normal; mental disorder
7,abet,assist usually in doing something wrong; encourage
8,abeyance,suspended action
9,abhor,detest; hate
10,abide,Dwell; abide by: comply with; put up with; tolerate; Ex. abide by the rules; Ex. I can't abide rude people.
11,abject,(of a condition) wretched; as low as possible; lacking pride; very humble; showing lack of self-respect; Ex. abject apology
12,abjure,renounce upon oath
13,ablution,washing
14,abnegation,renunciation; self-sacrifice; self-abnegation
15,abode,dwelling place; home
16,abolish,cancel; put an end to
17,abominable,detestable; extremely unpleasant
18,abominate,loathe; hate
19,aboriginal,being the first of its kind in a region; primitive; native; indigenous; N. aborigine
20,abortive,unsuccessful; fruitless
21,abrasive,rubbing away; tending to grind down
22,abridge,condense or shorten
23,abrogate,abolish
24,abscission,cutting off; separation
25,abscond,depart secretly and hide
26,absolute,complete; totally unlimited; having complete power; certain; not relative; Ex. absolute honesty/ruler; CF. absolutism
27,absolve,pardon (an offense)
28,abstain,refrain; withhold from participation; intentionally not use one's vote;
29,abstemious,sparing in eating and drinking; temperate
30,abstinence,"restraint from pleasant things, esp. eating or drinking; CF. abstention: act of abstaining from vote"
31,abstract,theoretical; not concrete; nonrepresentational
32,abstruse,obscure; profound; difficult to understand
33,abusive,coarsely insulting; physically harmful
34,abut,border upon; adjoin
35,abysmal,bottomless
36,abyss,enormous chasm; vast bottomless pit
37,academic,related to a school; not practical or directly useful
38,accede,agree
39,accelerate,move faster
40,accessible,easy to approach; obtainable
41,accessory,additional object; useful but not essential thing
42,acclaim,applaud; praise; greet with great approval; announce with great approval; Ex. The new drung has been acclaimed as the most important discoveries for years; N: strong expression of approval and praise
43,acclimate,adjust to climate or environment; adapt
44,acclivity,sharp upslope of a hill; OP. declivity
45,accolade,award of merit; strong praise and approval
46,accommodate,oblige or help someone; adjust or bring into harmony; adapt; make enough space for; ADJ. accommodative; CF. accomodating: helpful and obliging
47,accomplice,partner in crime
48,accord,agreement
49,accost,approach and speak first to a person
50,accoutre,equip; N. accoutrement
51,accretion,growth or increase in size by gradual addition; growth; increase; increase by natural growth; Ex. towers and other accretions of the castle; V. accrete
52,accrue,come to one as a gain; accumulate over time; come about by addition; Ex. benefits that accrue from scientific research; Ex. interest accruing in a bank account; N. accrual
53,acerbity,"bitterness of speech and temper; ADJ. acerbic: bitter; acrid (in taste, manner, or tone)"
54,acetic,vinegary
55,acidulous,slightly sour (in taste or manner); sharp; caustic
56,acknowledge,recognize; admit
57,acme,peak; pinnacle; highest point
58,acne,skin disease (on the face)
59,acoustics,science of sound; quality that makes a room easy or hard to hear in
60,acquiesce,assent; agree passively; comply without protest
61,acquittal,deliverance from a charge; V. acquit: free from a charge or accusation; discharge from a duty; conduct (oneself) in a specified manner
62,acrid,bitter (to the taste or smell); sharp; bitterly pungent
63,acrimonious,stinging; caustic; bitter in words or manner; N. acrimony: bitter ill-natured animosity in speech or behavior
64,acrophobia,fear of heights
65,actuarial,calculating; pertaining to insurance statistics
66,actuary,someone who advises insurance companies
67,actuate,motivate; activate; cause to act
68,acuity,sharpness (of mind or senses of sight or hearing)
69,acumen,mental keenness; sharpness of judgment; ability to judge quickly and well; Ex. business acumen
70,acute,(of the senses) sharp; quickly perceptive; keen; penetrating; brief and severe; Ex. acute sense of smell/analysis/pain
71,adage,wise saying; proverb
72,adamant,hard; inflexible
73,adapt,make or become suitable for a specific use; alter; modify; adjust; N. adaptation: act of adapting; composition recast into a new form; Ex. The play is an adaption of a short novel.
74,addendum,addition; appendix to book; something that is added (as at the end of a speech or book)
75,addiction,compulsive habitual need
76,addle,make or become confused; muddle; drive crazy; become rotten (egg)
77,address,direct a speech to; speak to; deal with or discuss; direct one's efforts or attention to; make with a destination; N: formal speech
78,adept,expert at; very skilled
79,adhere,stick fast; be a devotd follower; N. adhesion: adhering; devotion; loyality
80,adherent,supporter; follower
81,adjacent,adjoining; neighboring; close by
82,adjoin,be next to
83,adjourn,suspend until a later time; move from one place to another
84,adjunct,something attached to but holding an inferior position
85,adjuration,solemn urging; V. adjure: entreat earnestly; enjoin solemnly
86,adjutant,staff officer assisting the commander; assistant
87,admonish,warn or speak to with gentle disapproval; reprove
88,adore,love deeply and respect highly
89,adorn,decorate
90,adroit,skillful (in using mind or hand)
91,adulation,flattery; admiration that is more than is necessary or deserved
92,adulterate,make impure or of poorer quality by adding inferior or tainted(contaminated) substances
93,Advent,arrival
94,adventitious,accidental; casual; happening by chance
95,adversary,opponent; enemy
96,adverse,going against; opposing; unfavorable; hostile
97,adversity,great hardship or affliction; misfortune; calamitous event
98,advert,refer
99,advocacy,support; active pleading on behalf of someone or something
100,advocate,speak in favor of; support (an idea or plan); urge; plead for
101,aegis,shield; protection; defense
102,"aerie(aery,eyrie,eyry)",nest of a large bird of prey
103,aesthetic,artistic; dealing with or capable of appreciating the beautiful (of a person or building); CF. aesthete; CF. aesthetics
104,affable,easily approachable; easy to talk to; warmly friendly
105,affected,artificial; pretended
106,affidavit,written statement made under oath (for use as proof in a court of law)
107,affiliation,joining; associating with
108,affinity,feeling of kinship; similarity; Ex. strong affinity for her; Ex. many affinities between two languages
109,affirmation,positive assertion; confirmation; solemn pledge by one who refuses to take an oath; V. affirm; ADJ. affirmative; CF. affirmative action: positive discrimination
110,affliction,state of distress; trial; cause of distress or suffering; V. afflict: inflict grievous suffering on
111,affluence,abundance; wealth
112,affront,insult; offense; intentional act of disrespect; V: insult or hurt the feelings of intentionally
113,afterlife,life after death; later part of one's life
114,agape,openmouthed
115,agenda,items of business at a meeting
116,agglomeration,collection; heap; V. agglomerate: gather into a rounded mass; N. aggolmeate: jumbled mass; heap
117,aggrandize,"make greater; increase in power, wealth, rank, or honor; N. aggrandizement"
118,aggregate,sum; total; ADJ. V: gather into a mass or whole; accumulate; add up to; Ex. aggregate 100 dollars
119,aghast,filled with great surprise or fear; horrified
120,agility,nimbleness; ability to move quickly
121,agitate,stir up; disturb
122,agnostic,one who is skeptical of the existence or knowability of a god or any ultimate reality
123,agog,highly excited; intensely curious
124,agrarian,pertaining to land or its cultivation; Ex. agrarian reform
125,airy,of air; high in the air; lofty; immaterial; unreal
126,alacrity,cheerful promptness without reluctance
127,alchemy,medieval chemistry
128,alcove,nook; recess
129,alias,an assumed name esp. by a criminal (usually to mislead people); ADV. alias
130,alienate,make unfriendly or hostile; estrange; separate; change the ownership of
131,alimentary,supplying nourishment
132,alimony,payments made regularly to an ex-spouse after divorce
133,allay,calm; pacify
134,allege,state without proof
135,allegiance,loyalty
136,allegory,"story, play, or picture in which characters are used as symbols; fable"
137,alleviate,relieve (pain)
138,alliteration,repetition of beginning sound in poetry
139,allocate,assign; set apart for a particular purpose
140,alloy,mixture as of metals; something added that lowers in value or purity; V: mix; make less pure; lower in value or quality; spoil; CF. unalloyed: not in mixture with other maetals; pure; complete; unqualified; Ex. unalloyed happiness
141,allude,refer indirectly; N. allusion: indirect reference
142,allure,entice; attract; tempt
143,alluvial,pertaining to soil deposits left by running water
144,alms,money or goods given to the poor
145,aloft,upward; high up in the air
