,vocab,meaning
4000,aa,n 苹果
4001,bb,n 香蕉
4002,ooo,n 橙子
4003,rr,n 红色
4004,ab,n 闯入者，侵入者
4005,ba,n 生物学者
4006,aba,n 顺序
4007,aaa,1 n 论点；争端2 v 颁布，发行3 v 流出，涌出
4008,bbb,v 献给，奉献；（把精力、时间等）专门用于某事（to）
4009,ccc,v （用篱、墙等）围起，圈起，包围，围绕
4010,ddd,a 空间的
4011,normal,a 正常的，平常的，普通的；正规的，标准的，额定的
4012,incongruous,a 不调和的，不相称的
4013,correlate,n&v 互相关联，互相关系（with；to）
4014,resonance,n 回声，反响；共鸣
4015,incubate,v 孵卵；孵化
4016,strikingly,ad 显著地，明显地，触目地，惊人地
4017,ceramics,n 陶瓷学；陶瓷工艺，制陶术
4018,enzyme,n 酶
4019,prevent,v 阻止，阻挡；制止；妨碍（from）
4020,monochrome,a 单色的，一色的  n 单色画（照片）
4021,neglect,n&v 疏忽；忽略；玩忽，轻忽；轻视，忽视
4022,specialty,n 特制品；新产品；专门，专业
4023,maintenance,n 保持，维持，保养；支持的手段
4024,qualify,v 使具有资格；准予；使适宜
4025,tax,n 税，租税  v 对……抽税，征税
4026,deserve,v 应受，该得，值得
4027,engage,v [多用被动语态]使从事，使忙于（in）
4028,capable,1 a 有技能的，有资格的（for）2 a 可以……的；能……的；易……的（of）
4029,insert,v 插进，夹入
4030,prey,n 被捕食的动物，牺牲者，牺牲品
4031,akin,a 同样的，类似的（be akin to……）
4032,tight,1 a 紧密的，正合身的2 a 严格的，严厉的
4033,segregate,v 分开；分离；隔开（[opp]integrate）
4034,bounce,v 弹起，反跳，弹回
4035,faith,n 信仰，信心
4036,sculptor,n 雕刻（塑）家；雕刻（塑）工人
4037,algae,n [pl]藻；藻类（[sing]alga）
4038,travel,v 漫游，游览，周游  n 旅行
4039,hardness,n 坚固，冷酷无情，苛刻，困难
4040,cable,n 粗索，巨缆；电缆
4041,passage,n 通行，通过；经过；转变，演变
4042,subdivide,v 再分；细分
4043,barb,n 倒钩，倒刺
4044,cord,n 绳子，索子
4045,strain,1 n 拉紧；紧张；使用过度2 n 品系，系；菌株；变种
4046,metropolis,n 首都，主要都市；（产业、艺术等的）中心
4047,converge,v 会聚，集中
4048,damp,n 湿气，潮湿  a 有湿气的，潮湿的  v 弄湿，打湿
4049,startling,a 令人吃惊的
4050,rare,1 a 稀少的；（空气等）稀薄的；（群岛、星等）稀疏的2 a 稀有的，珍奇的；极好的，珍贵的
4051,subway,n 地道；地下铁道（列车）
4052,vibrate,v 摇动，振动；颤动
4053,aware,a [用作表语]知道，晓得，发觉，觉得
4054,utilitarian,a 功利的；实用主义的
4055,pilot,n 飞行员；领航员
4056,mercury,n 贡，水银；（M-）水星
4057,buckle,n 扣子，带扣；（衣，鞋等）扣形装饰品
4058,slip,1 v 滑动；滑脱；滑落2 n 润滑性
4059,exotic,a 异国情调的；异乎寻常的；[口]奇异的；吸引人的
4060,pack,v 包，把……打包，包装
4061,consecutive,a 连续的
4062,purification,n 清洗，洗净；净化（作用），提纯，精制
4063,coach,1 n 轿式马车2 n 教练  v 训练
4064,shortage,n 不足，缺少；不足额；缺点，缺陷
4065,evolve,v 发展；进化
4066,particle,n 颗粒，微粒
4067,fossil,n 化石
4068,saber,n 军刀，马刀
4069,remnant,n 剩余，残屑
4070,stout,a 结实的；坚强的；坚牢的（[opp]flimsy）
4071,frustrate,v 挫败（敌人）；破坏（计划等），阻挠
4072,polygon,n 多边形，多角形
4073,drain,v 排去（水等液体）  n 排水渠
4074,harsh,a 粗糙的；荒芜的；不毛的
4075,plastic,n 塑料；塑料制品
4076,anthropology,n 人类学
4077,moss,n 苔藓；地衣
4078,chimpanzee,n 黑猩猩
4079,serene,a 宁静的；（性情）沉静的
4080,diffuse,v 扩散；渗出
4081,span,1 n 一段时间；很小的间隔；片刻，顷刻2 v 横跨，跨越  n 跨度，跨距，范围3 v 达到，及
4082,stitch,v 缝，缝合；钉
4083,save,prep 除……以外，除了
4084,cope,v 善于对付，克服（困难等）（with）
4085,repair,1 n&v 修理，修补2 n （健康等的）恢复
4086,compass,n 罗盘，指南针
4087,trunk,n 树干；躯干
4088,microscopic,a 用显微镜可见的；微观的；极微的（[opp]macroscopic）
4089,complex,n [化]络合物；复合物，综合体
4090,variable,1 n [数]变量2 a 易变的，可变的
4091,kettle,n&v 跳跃；飞跃，跃进；跳跃（的高度[距离]）
4092,maize,n 玉蜀黍，玉米（美国、加拿大叫corn）
4093,starve,v 使饿死；使饥饿
4094,can,n 盖，罩子
4095,transfer,1 n&v 转移；传递；转送2 n&v 交付，转让，（股票等的）过户划拨，汇划，汇兑
4096,superficial,a 表面的；肤浅的，浅薄的，一知半解的（[opp]profound）
4097,preponderance,n （数量、重量、力量、影响、重要性上的）优势；优越
4098,prodigious,a 巨大的，庞大的，奇妙的
4099,dam,n 水闸，坝，堰
4100,penetrate,v 进入，渗入，穿透
4101,decay,n&v 腐朽，腐烂；衰减，衰退
4102,improvise,v 即席创作，即席演奏
4103,artisan,n 工匠，手工业工人
4104,in spite of,不管，不顾
4105,theme,n （文章，讨论的）主题；论题；话题
4106,perceive,v 觉察，发觉；看见，听见；领会，领悟
4107,kinetic,n 动力（学）的，运动的
4108,maternal,a 母系的；母亲的；像母亲的（[opp]paternal）
4109,mutual,a 相互的，共有的，共同的
4110,medium,n 媒介；（常作[pl]）宣传工具；传播媒介；手段，方法
4111,disturb,v 扰乱；打扰
4112,tow,v 拖着走，拉着走
4113,altitude,n 高，高度；海拔（高度）
4114,loom,1 n 织布机2 v 朦胧出现，（危险、忧虑等）阴森森地逼近
4115,float,n&v 漂浮，浮起
4116,pebble,n 砾，卵石，石子
4117,insulate,v 使绝缘；隔离，使孤立
4118,thereby,ad 因此，所以
4119,perspective,n 观点；看法
4120,romance,n 浪漫，浪漫史
4121,witness,v 目击，目睹  n 证人，证据
4122,imitate,v 仿效，模仿
4123,rely,v 倚赖，依靠，信任，信赖
4124,handcrafted,a 手工的，手工艺的
4125,sensational,a 耸人听闻的；令人激动的
4126,principal,a 主要的，首要的，最重要的；第一的
4127,stature,1 n （特指人的）身长，身材2 n 发展、成长的状况或高度；才干
4128,confine,v 限制（to；within）
4129,divergent,a 叉开的，分歧的；背道而驰的
4130,furniture,n 家具，器具
4131,productive,a 生产的，生产性的；有生产力的；多产的
4132,preach,v 讲道，布道，宣扬，鼓吹
4133,kitchen,n 厨房
4134,relieve,v 减轻，缓和，解除，救济
4135,primary,1 a 第一的，最初的2 a 主要的，第一位的
4136,thunder,n 雷，雷声
4137,burial,n 埋葬，葬礼，墓地
4138,wear,v 损耗，磨破（away/out/off）
4139,crouch,n&v 蹲下；蜷着
4140,suburb,n 郊区，城郊，市郊，近郊
4141,trial,1 n 考验，磨难2 n 试验；（人或物的）试用；试车3 n 审问；审判
4142,topic,n 论题，题目；话题；标题，细目
4143,stomach,n 胃；[口]肚子
4144,succinct,a 简洁的，简明的（[opp]lengthy）
4145,whereas,conj 而，却，倒
